R,Z
4.105,-2.504
4.105,-2.47340201
4.105,-2.44280402
4.105,-2.41220603
4.105,-2.38160804
4.105,-2.35101005
4.105,-2.32041206
4.105,-2.28981407
4.105,-2.25921608
4.105,-2.22861809
4.105,-2.198020101
4.105,-2.167422111
4.105,-2.136824121
4.105,-2.106226131
4.105,-2.075628141
4.105,-2.045030151
4.105,-2.014432161
4.105,-1.983834171
4.105,-1.953236181
4.105,-1.922638191
4.105,-1.892040201
4.105,-1.861442211
4.105,-1.830844221
4.105,-1.800246231
4.105,-1.769648241
4.105,-1.739050251
4.105,-1.708452261
4.105,-1.677854271
4.105,-1.647256281
4.105,-1.616658291
4.105,-1.586060302
4.105,-1.555462312
4.105,-1.524864322
4.105,-1.494266332
4.105,-1.463668342
4.105,-1.433070352
4.105,-1.402472362
4.105,-1.371874372
4.105,-1.341276382
4.105,-1.310678392
4.105,-1.280080402
4.105,-1.249482412
4.105,-1.218884422
4.105,-1.188286432
4.105,-1.157688442
4.105,-1.127090452
4.105,-1.096492462
4.105,-1.065894472
4.105,-1.035296482
4.105,-1.004698492
4.105,-0.974100503
4.105,-0.943502513
4.105,-0.912904523
4.105,-0.882306533
4.105,-0.851708543
4.105,-0.821110553
4.105,-0.790512563
4.105,-0.759914573
4.105,-0.729316583
4.105,-0.698718593
4.105,-0.668120603
4.105,-0.637522613
4.105,-0.606924623
4.105,-0.576326633
4.105,-0.545728643
4.105,-0.515130653
4.105,-0.484532663
4.105,-0.453934673
4.105,-0.423336683
4.105,-0.392738693
4.105,-0.362140704
4.105,-0.331542714
4.105,-0.300944724
4.105,-0.270346734
4.105,-0.239748744
4.105,-0.209150754
4.105,-0.178552764
4.105,-0.147954774
4.105,-0.117356784
4.105,-0.086758794
4.105,-0.056160804
4.105,-0.025562814
4.105,0.005035176
4.105,0.035633166
4.105,0.066231156
4.105,0.096829146
4.105,0.127427136
4.105,0.158025126
4.105,0.188623116
4.105,0.219221106
4.105,0.249819095
4.105,0.280417085
4.105,0.311015075
4.105,0.341613065
4.105,0.372211055
4.105,0.402809045
4.105,0.433407035
4.105,0.464005025
4.105,0.494603015
4.105,0.525201005
4.105,0.555798995
4.105,0.586396985
4.105,0.616994975
4.105,0.647592965
4.105,0.678190955
4.105,0.708788945
4.105,0.739386935
4.105,0.769984925
4.105,0.800582915
4.105,0.831180905
4.105,0.861778894
4.105,0.892376884
4.105,0.922974874
4.105,0.953572864
4.105,0.984170854
4.105,1.014768844
4.105,1.045366834
4.105,1.075964824
4.105,1.106562814
4.105,1.137160804
4.105,1.167758794
4.105,1.198356784
4.105,1.228954774
4.105,1.259552764
4.105,1.290150754
4.105,1.320748744
4.105,1.351346734
4.105,1.381944724
4.105,1.412542714
4.105,1.443140704
4.105,1.473738693
4.105,1.504336683
4.105,1.534934673
4.105,1.565532663
4.105,1.596130653
4.105,1.626728643
4.105,1.657326633
4.105,1.687924623
4.105,1.718522613
4.105,1.749120603
4.105,1.779718593
4.105,1.810316583
4.105,1.840914573
4.105,1.871512563
4.105,1.902110553
4.105,1.932708543
4.105,1.963306533
4.105,1.993904523
4.105,2.024502513
4.105,2.055100503
4.105,2.085698492
4.105,2.116296482
4.105,2.146894472
4.105,2.177492462
4.105,2.208090452
4.105,2.238688442
4.105,2.269286432
4.105,2.299884422
4.105,2.330482412
4.105,2.361080402
4.105,2.391678392
4.105,2.422276382
4.105,2.452874372
4.105,2.483472362
4.105,2.514070352
4.105,2.544668342
4.105,2.575266332
4.105,2.605864322
4.105,2.636462312
4.105,2.667060302
4.105,2.697658291
4.105,2.728256281
4.105,2.758854271
4.105,2.789452261
4.105,2.820050251
4.105,2.850648241
4.105,2.881246231
4.105,2.911844221
4.105,2.942442211
4.105,2.973040201
4.105,3.003638191
4.105,3.034236181
4.105,3.064834171
4.105,3.095432161
4.105,3.126030151
4.105,3.156628141
4.105,3.187226131
4.105,3.217824121
4.105,3.248422111
4.105,3.279020101
4.105,3.30961809
4.105,3.34021608
4.105,3.37081407
4.105,3.40141206
4.105,3.43201005
4.105,3.46260804
4.105,3.49320603
4.105,3.52380402
4.105,3.55440201
4.105,3.585
